week_start_date,year,month,week_of_year,grade,demand_kg,production_kg,inventory_kg,colombo_auction_price_lkr,auction_price_lag1w,auction_price_lag4w,rainfall_index,usd_lkr_rate,festival_flag,global_commodity_shock,demand_rolling4w_avg,demand_rolling12w_avg
2021-05-31,2021,5,22,BOP,3626,3347,71,1776.63,1726.58,1666.01,73.9,315.18,0,0.0246,3131.0,3320.0
2021-06-07,2021,6,23,BOP,4307,4569,0,1824.3,1833.64,1896.01,81.2,313.05,0,0.0007,3227.0,3361.0
2021-06-14,2021,6,24,BOP,3485,3617,326,1792.61,1857.59,1843.36,67.3,315.31,0,0.028,3541.0,3438.0
2021-06-21,2021,6,25,BOP,3509,3443,0,1753.18,1756.55,1720.76,56.8,308.19,0,0.0109,3676.0,3488.0
2021-06-28,2021,6,26,BOP,3202,3391,146,1922.57,1931.58,2041.81,99.7,309.84,0,0.0581,3732.0,3503.0
2021-07-05,2021,7,27,BOP,3856,3671,0,1776.69,1800.09,1919.55,89.5,312.31,0,-0.0221,3626.0,3478.0
2021-07-12,2021,7,28,BOP,4394,4444,59,1857.55,1842.94,1859.69,96.0,315.99,0,0.0203,3513.0,3452.0
2021-07-19,2021,7,29,BOP,3528,3677,197,1714.4,1729.49,1679.97,57.2,306.21,0,0.0478,3740.0,3559.0
2021-07-26,2021,7,30,BOP,3352,3377,0,1791.41,1855.93,1788.53,88.5,310.14,0,0.0183,3745.0,3536.0
2021-08-02,2021,8,31,BOP,4024,3867,0,1718.61,1766.71,1782.17,45.4,305.62,0,0.0083,3782.0,3545.0
2021-08-09,2021,8,32,BOP,4500,4169,0,1924.02,1948.92,1886.83,100.0,308.05,0,0.0857,3824.0,3626.0
2021-08-16,2021,8,33,BOP,3849,3929,70,1699.31,1655.31,1778.21,93.6,307.69,0,-0.001,3851.0,3756.0
2021-08-23,2021,8,34,BOP,2854,3211,329,1756.96,1769.14,1827.1,74.9,303.98,0,-0.0079,3931.0,3803.0
2021-08-30,2021,8,35,BOP,3927,4154,464,1761.01,1817.85,1792.96,58.8,311.64,0,0.0255,3807.0,3738.0
2021-09-06,2021,9,36,BOP,4184,4333,319,1742.71,1827.75,1839.21,54.7,314.16,0,0.0404,3782.0,3707.0
2021-09-13,2021,9,37,BOP,3974,3871,0,1683.26,1690.8,1775.11,50.5,302.98,0,0.022,3704.0,3765.0
2021-09-20,2021,9,38,BOP,4947,4708,88,1652.68,1607.4,1646.84,74.5,304.21,0,0.0124,3735.0,3804.0
2021-09-27,2021,9,39,BOP,3957,3742,0,1649.71,1655.3,1556.42,46.9,310.34,0,0.0491,4258.0,3949.0
2021-10-04,2021,10,40,BOP,3786,3634,46,1605.97,1596.65,1623.15,33.4,291.19,0,0.0203,4266.0,3958.0
2021-10-11,2021,10,41,BOP,3658,3985,356,1600.9,1649.91,1678.94,57.9,301.72,0,0.0023,4166.0,3907.0
2021-10-18,2021,10,42,BOP,3597,3591,0,1596.2,1565.14,1672.6,41.4,289.39,0,0.0304,4087.0,3918.0
2021-10-25,2021,10,43,BOP,4161,3996,0,1686.47,1641.03,1620.93,73.4,302.91,0,0.0521,3750.0,3938.0
2021-11-01,2021,11,44,BOP,3841,4039,81,1518.7,1510.29,1537.37,43.1,308.66,0,0.0203,3800.0,3950.0
2021-11-08,2021,11,45,BOP,3301,3417,449,1502.78,1496.5,1451.65,74.0,306.8,0,0.0096,3814.0,3895.0
2021-11-15,2021,11,46,BOP,3865,4102,355,1584.38,1647.95,1715.03,13.7,295.96,0,0.0373,3725.0,3849.0
2021-11-22,2021,11,47,BOP,3595,3213,0,1537.15,1522.12,1468.31,62.8,311.77,0,-0.041,3792.0,3933.0
2021-11-29,2021,11,48,BOP,3871,4042,114,1447.89,1426.25,1307.49,21.8,302.53,0,-0.0081,3650.0,3906.0
2021-12-06,2021,12,49,BOP,3444,3869,429,1536.87,1464.24,1474.8,34.4,308.63,0,0.0172,3658.0,3879.0
2021-12-13,2021,12,50,BOP,3680,3787,0,1367.49,1402.53,1371.2,17.6,314.65,0,-0.0301,3694.0,3835.0
2021-12-20,2021,12,51,BOP,2400,2312,171,1549.19,1590.0,1541.87,28.9,311.08,0,0.0232,3648.0,3730.0
2021-12-27,2021,12,52,BOP,4048,3805,0,1483.02,1443.1,1490.52,6.3,317.28,0,0.013,3349.0,3600.0
2022-01-03,2022,1,1,BOP,3268,3628,315,1584.23,1567.25,1635.44,22.9,316.15,0,0.0133,3393.0,3622.0
2022-01-10,2022,1,2,BOP,3405,3420,0,1617.09,1659.62,1723.17,0.0,317.24,0,0.04,3349.0,3589.0
2022-01-17,2022,1,3,BOP,3299,3150,0,1427.29,1422.72,1465.62,31.4,315.51,0,-0.0602,3280.0,3573.0
2022-01-24,2022,1,4,BOP,3760,3737,0,1418.53,1431.07,1356.66,0.0,312.7,0,-0.0356,3505.0,3501.0
2022-01-31,2022,1,5,BOP,3070,3219,307,1565.82,1574.86,1582.12,26.4,314.22,0,0.0388,3433.0,3495.0
2022-02-07,2022,2,6,BOP,2945,2929,0,1662.79,1663.0,1633.77,5.5,315.57,0,0.0646,3384.0,3475.0
2022-02-14,2022,2,7,BOP,2123,2086,183,1436.69,1496.29,1383.86,15.9,315.59,0,-0.072,3268.0,3399.0
2022-02-21,2022,2,8,BOP,3225,3214,46,1477.83,1570.57,1540.26,40.9,320.18,0,-0.0012,2974.0,3276.0
2022-02-28,2022,2,9,BOP,3592,3744,222,1480.74,1504.44,1525.42,3.3,318.1,0,-0.0389,2841.0,3222.0
2022-03-07,2022,3,10,BOP,3476,3851,622,1669.71,1626.0,1468.04,47.4,320.94,1,-0.0376,2971.0,3235.0
2022-03-14,2022,3,11,BOP,3548,3589,211,1602.34,1587.08,1658.38,34.9,320.81,1,0.0,3104.0,3218.0
2022-03-21,2022,3,12,BOP,3608,3742,0,1590.85,1637.06,1611.64,35.0,325.87,1,-0.018,3460.0,3313.0
2022-03-28,2022,3,13,BOP,3463,3576,0,1660.49,1659.85,1643.03,20.0,326.83,1,0.0016,3556.0,3277.0
2022-04-04,2022,4,14,BOP,3468,3734,377,1731.63,1710.28,1705.64,26.0,319.11,1,0.0596,3524.0,3293.0
2022-04-11,2022,4,15,BOP,2908,2988,484,1857.23,1841.29,1900.95,50.1,322.28,1,0.0809,3522.0,3298.0
2022-04-18,2022,4,16,BOP,3508,3371,127,1779.84,1756.79,1832.82,63.2,320.8,1,0.0242,3362.0,3266.0
2022-04-25,2022,4,17,BOP,3874,3776,0,1845.29,1799.07,1872.13,51.6,318.26,1,0.0647,3337.0,3244.0
2022-05-02,2022,5,18,BOP,4204,4642,633,1788.45,1779.45,1745.71,75.0,324.62,0,-0.046,3440.0,3312.0
2022-05-09,2022,5,19,BOP,3817,4200,381,1777.69,1793.32,1833.08,91.9,322.88,0,-0.0128,3624.0,3416.0
2022-05-16,2022,5,20,BOP,3780,3696,0,1754.45,1706.52,1839.5,32.7,326.52,0,-0.021,3851.0,3558.0
2022-05-23,2022,5,21,BOP,3995,4243,0,1714.06,1706.16,1650.69,45.1,318.16,0,-0.0144,3919.0,3604.0
2022-05-30,2022,5,22,BOP,4135,4078,0,1772.64,1725.61,1846.9,77.3,327.02,0,-0.0459,3949.0,3637.0
2022-06-06,2022,6,23,BOP,4209,4584,258,1734.81,1732.48,1685.14,86.3,315.83,0,-0.0517,3932.0,3692.0
2022-06-13,2022,6,24,BOP,3909,3914,0,1860.31,1892.29,1831.5,72.5,324.56,0,0.0289,4030.0,3747.0
2022-06-20,2022,6,25,BOP,4105,4840,808,1611.07,1603.67,1556.2,56.1,318.6,0,-0.054,4062.0,3772.0
2022-06-27,2022,6,26,BOP,4115,3900,0,1676.62,1613.58,1802.1,72.7,313.51,0,-0.0503,4090.0,3826.0
2022-07-04,2022,7,27,BOP,3510,3467,0,2042.6,2087.39,1991.48,63.3,321.22,0,0.1048,4084.0,3880.0
2022-07-11,2022,7,28,BOP,4820,5023,360,1672.76,1675.5,1703.36,93.5,319.12,0,-0.0882,3910.0,3930.0
2022-07-18,2022,7,29,BOP,4167,4424,125,1994.73,1958.52,2115.95,76.7,307.37,0,0.0724,4138.0,4039.0
2022-07-25,2022,7,30,BOP,4187,4304,0,1756.56,1782.27,1780.1,64.9,300.69,0,-0.0216,4153.0,4064.0
2022-08-01,2022,8,31,BOP,4009,4038,419,1683.84,1704.91,1743.46,76.3,307.7,0,0.0058,4171.0,4062.0
2022-08-08,2022,8,32,BOP,4781,4647,0,1865.42,1857.79,1996.41,82.2,310.79,0,0.0342,4296.0,4078.0
2022-08-15,2022,8,33,BOP,4027,3941,0,1695.61,1654.81,1624.93,52.8,305.11,0,-0.0071,4286.0,4162.0
2022-08-22,2022,8,34,BOP,4317,4419,0,1749.86,1778.35,1783.6,74.8,302.6,0,-0.071,4251.0,4164.0
2022-08-29,2022,8,35,BOP,3911,4106,0,1880.89,1858.02,1840.33,73.6,307.55,0,0.0888,4284.0,4180.0
2022-09-05,2022,9,36,BOP,4382,3659,0,1559.95,1493.79,1522.08,33.7,302.57,0,0.0183,4259.0,4155.0
2022-09-12,2022,9,37,BOP,4081,4244,182,1649.09,1671.7,1771.03,76.3,302.97,0,-0.0607,4159.0,4194.0
2022-09-19,2022,9,38,BOP,3508,3761,408,1641.54,1543.34,1629.27,40.4,302.78,0,-0.0092,4173.0,4192.0
2022-09-26,2022,9,39,BOP,4451,4528,0,1574.28,1582.59,1654.4,64.0,297.73,0,-0.0765,3970.0,4142.0
2022-10-03,2022,10,40,BOP,4274,3884,0,1677.34,1630.47,1638.18,58.3,297.87,0,0.0755,4106.0,4220.0
2022-10-10,2022,10,41,BOP,4166,4465,24,1480.64,1514.96,1460.73,52.6,299.86,0,-0.0137,4078.0,4175.0
2022-10-17,2022,10,42,BOP,4063,3583,0,1628.04,1619.95,1706.22,31.0,313.45,0,0.0277,4100.0,4174.0
2022-10-24,2022,10,43,BOP,4019,4079,21,1724.57,1714.19,1641.14,66.1,301.7,0,0.066,4238.0,4164.0
2022-10-31,2022,10,44,BOP,3606,3582,0,1676.88,1692.64,1629.42,64.3,300.79,0,0.0177,4130.0,4165.0
2022-11-07,2022,11,45,BOP,4076,4203,0,1486.01,1515.0,1516.66,28.8,301.84,0,-0.0039,3964.0,4067.0
2022-11-14,2022,11,46,BOP,4297,4486,545,1621.17,1582.97,1729.28,38.3,313.76,0,0.017,3941.0,4071.0
2022-11-21,2022,11,47,BOP,3939,3765,0,1500.24,1495.06,1546.56,37.8,313.31,0,-0.0512,4000.0,4070.0
2022-11-28,2022,11,48,BOP,3939,3735,0,1567.11,1571.32,1572.1,38.5,312.5,0,-0.0151,3980.0,4072.0
2022-12-05,2022,12,49,BOP,4261,4001,0,1490.87,1455.63,1517.67,10.0,311.44,0,0.0135,4063.0,4035.0
2022-12-12,2022,12,50,BOP,4019,3950,249,1513.73,1550.97,1455.32,45.0,304.79,0,0.023,4109.0,4050.0
2022-12-19,2022,12,51,BOP,3709,3546,270,1409.85,1401.96,1355.46,26.7,314.71,0,-0.021,4040.0,4092.0
2022-12-26,2022,12,52,BOP,3331,3729,231,1465.93,1525.94,1426.35,31.4,316.79,0,-0.0162,3982.0,4031.0
2023-01-02,2023,1,1,BOP,3682,3429,0,1548.43,1552.8,1646.83,18.5,326.56,0,0.0209,3830.0,3952.0
2023-01-09,2023,1,2,BOP,2555,2731,453,1407.35,1371.19,1462.4,13.8,317.12,0,-0.0535,3685.0,3912.0
2023-01-16,2023,1,3,BOP,3892,3687,137,1521.8,1537.03,1489.32,14.6,323.6,0,-0.0073,3319.0,3786.0
2023-01-23,2023,1,4,BOP,2774,3003,291,1688.69,1737.7,1748.09,18.4,312.7,0,0.0743,3365.0,3776.0
2023-01-30,2023,1,5,BOP,2977,2862,0,1623.87,1582.62,1642.51,20.8,321.19,0,0.0383,3226.0,3706.0
2023-02-06,2023,2,6,BOP,3039,3045,28,1641.56,1677.08,1552.94,29.1,319.99,0,0.0403,3050.0,3615.0
2023-02-13,2023,2,7,BOP,2807,2801,0,1652.11,1635.69,1640.05,14.5,320.95,0,0.0239,3170.0,3510.0
2023-02-20,2023,2,8,BOP,3243,3257,0,1597.19,1623.39,1593.06,41.9,316.75,0,0.0125,2899.0,3415.0
2023-02-27,2023,2,9,BOP,3480,3488,0,1589.04,1572.37,1674.99,29.0,328.5,0,-0.0229,3016.0,3357.0
2023-03-06,2023,3,10,BOP,3879,3953,107,1535.36,1493.97,1491.47,47.9,320.36,1,-0.0926,3142.0,3292.0
2023-03-13,2023,3,11,BOP,2930,3012,0,1631.17,1605.66,1581.6,47.3,326.18,1,-0.0325,3352.0,3281.0
2023-03-20,2023,3,12,BOP,2860,2972,274,1618.85,1635.48,1621.1,32.5,326.52,1,-0.013,3383.0,3216.0
2023-03-27,2023,3,13,BOP,3288,3147,54,1804.58,1769.64,1782.18,42.2,324.71,1,0.0473,3287.0,3176.0
2023-04-03,2023,4,14,BOP,3270,3124,92,1659.87,1665.11,1587.01,49.9,324.77,1,-0.0316,3239.0,3144.0
2023-04-10,2023,4,15,BOP,4428,4054,0,1736.13,1792.2,1713.77,65.0,332.79,1,-0.0157,3087.0,3203.0
2023-04-17,2023,4,16,BOP,3457,3535,324,1851.65,1802.29,1825.77,32.3,326.52,1,0.0185,3462.0,3248.0
2023-04-24,2023,4,17,BOP,3908,3928,91,1850.82,1836.12,1769.22,78.4,325.6,1,-0.0293,3611.0,3305.0
2023-05-01,2023,5,18,BOP,4036,3381,0,1861.26,1878.85,1759.5,34.0,325.05,0,0.03,3766.0,3382.0
2023-05-08,2023,5,19,BOP,3847,3687,0,1850.87,1870.01,1834.47,61.1,332.32,0,-0.0312,3957.0,3466.0
2023-05-15,2023,5,20,BOP,3544,3217,0,1803.7,1841.72,1844.97,76.2,325.03,0,-0.0095,3812.0,3552.0
2023-05-22,2023,5,21,BOP,3827,3882,0,1819.72,1868.89,1884.22,68.3,329.0,0,-0.0045,3834.0,3577.0
2023-05-29,2023,5,22,BOP,4043,4259,216,1758.28,1744.63,1754.35,51.8,330.92,0,-0.0438,3814.0,3606.0
2023-06-05,2023,6,23,BOP,3485,3451,0,1844.03,1880.41,1791.51,77.2,321.01,0,-0.026,3815.0,3620.0
2023-06-12,2023,6,24,BOP,3550,3573,0,1962.92,1920.12,1885.54,95.2,307.76,0,0.0105,3725.0,3666.0
2023-06-19,2023,6,25,BOP,4755,4655,190,1844.23,1786.58,1757.22,83.8,328.14,0,-0.0549,3726.0,3724.0
2023-06-26,2023,6,26,BOP,4339,4304,0,2009.66,1929.45,1919.53,74.6,313.22,0,0.057,3958.0,3846.0
2023-07-03,2023,7,27,BOP,3861,4023,0,1870.71,1854.86,1768.52,73.5,309.08,0,0.0203,4032.0,3935.0
2023-07-10,2023,7,28,BOP,4104,3694,0,1832.97,1840.28,1867.65,68.6,320.53,0,-0.0431,4126.0,3888.0
2023-07-17,2023,7,29,BOP,3966,4019,0,2003.01,1981.95,2005.61,75.1,317.16,0,0.0091,4265.0,3942.0
2023-07-24,2023,7,30,BOP,4683,4435,0,1996.79,2034.44,2035.71,87.7,317.2,0,0.0234,4068.0,3946.0
2023-07-31,2023,7,31,BOP,4018,4185,401,1883.38,1891.92,1841.07,94.2,307.55,0,0.0502,4154.0,4000.0
2023-08-07,2023,8,32,BOP,4538,4567,106,1790.65,1749.24,1851.54,58.6,304.4,0,0.0115,4193.0,4015.0
2023-08-14,2023,8,33,BOP,3940,3620,0,1946.54,1862.07,1853.56,76.0,312.15,0,0.0352,4301.0,4097.0
2023-08-21,2023,8,34,BOP,4043,4223,52,1925.74,1962.14,1964.32,83.4,319.74,0,0.043,4295.0,4107.0
2023-08-28,2023,8,35,BOP,4690,4344,0,1828.61,1857.57,1786.87,71.5,303.64,0,-0.0032,4135.0,4107.0
2023-09-04,2023,9,36,BOP,4811,4748,124,1779.94,1825.91,1809.97,58.1,302.7,0,0.0368,4303.0,4207.0
2023-09-11,2023,9,37,BOP,4440,4663,87,1778.17,1723.23,1739.81,90.9,303.21,0,-0.0181,4371.0,4312.0
2023-09-18,2023,9,38,BOP,4332,4165,166,1774.76,1758.03,1825.76,75.6,318.12,0,0.0249,4496.0,4286.0
2023-09-25,2023,9,39,BOP,4387,4263,0,1653.59,1670.46,1737.76,50.7,299.95,0,-0.0318,4568.0,4286.0
2023-10-02,2023,10,40,BOP,4078,3822,0,1764.18,1764.86,1680.28,65.1,309.74,0,0.0045,4492.0,4329.0
2023-10-09,2023,10,41,BOP,3720,3775,0,1656.28,1678.54,1681.73,43.9,304.6,0,-0.0094,4309.0,4327.0
2023-10-16,2023,10,42,BOP,3340,2929,0,1638.61,1597.19,1670.48,61.0,304.29,0,-0.0122,4129.0,4307.0
2023-10-23,2023,10,43,BOP,4460,4142,0,1725.53,1757.4,1653.01,45.8,307.16,0,0.0251,3881.0,4195.0
2023-10-30,2023,10,44,BOP,3518,3501,0,1812.77,1782.82,1762.95,58.0,309.24,0,0.102,3900.0,4232.0
2023-11-06,2023,11,45,BOP,3149,2937,0,1597.31,1563.31,1596.68,27.9,305.31,0,0.0253,3760.0,4147.0
2023-11-13,2023,11,46,BOP,3886,4141,0,1558.36,1565.8,1477.91,55.3,316.43,0,-0.015,3617.0,4081.0
2023-11-20,2023,11,47,BOP,3830,3901,0,1647.17,1636.67,1579.32,53.8,314.82,0,0.0096,3753.0,4068.0
2023-11-27,2023,11,48,BOP,3946,4114,790,1570.99,1588.8,1529.68,43.5,320.05,0,-0.0059,3596.0,3996.0
2023-12-04,2023,12,49,BOP,4228,4231,0,1379.64,1351.17,1355.34,54.7,313.73,0,-0.0842,3703.0,3924.0
2023-12-11,2023,12,50,BOP,4053,3971,0,1534.03,1521.02,1515.3,35.0,315.86,0,-0.0075,3972.0,3906.0
2023-12-18,2023,12,51,BOP,3646,3570,101,1477.11,1435.99,1577.8,8.0,320.09,0,0.0034,4014.0,3883.0
2023-12-25,2023,12,52,BOP,3536,3567,50,1649.49,1626.94,1631.43,49.1,313.6,0,0.0208,3968.0,3821.0
2024-01-01,2024,1,1,BOP,3558,3115,0,1806.43,1799.78,1724.77,24.9,329.18,0,0.0299,3866.0,3776.0
2024-01-08,2024,1,2,BOP,3307,2940,0,1519.99,1518.73,1553.8,17.0,320.89,0,-0.0179,3698.0,3762.0
2024-01-15,2024,1,3,BOP,3346,3429,203,1580.1,1672.87,1512.26,27.6,321.75,0,0.0144,3512.0,3760.0
2024-01-22,2024,1,4,BOP,4451,4785,178,1480.24,1458.37,1383.91,32.3,323.62,0,-0.0624,3437.0,3667.0
2024-01-29,2024,1,5,BOP,2928,2766,102,1610.89,1661.59,1640.32,29.9,327.78,0,-0.0256,3666.0,3745.0
2024-02-05,2024,2,6,BOP,3365,3260,0,1702.64,1709.8,1716.15,14.2,322.43,0,0.0075,3508.0,3726.0
2024-02-12,2024,2,7,BOP,2594,2551,0,1634.88,1581.52,1575.7,0.0,314.74,0,-0.011,3522.0,3683.0
2024-02-19,2024,2,8,BOP,3548,3569,50,1523.91,1457.53,1481.28,15.2,322.54,0,-0.0223,3334.0,3580.0
2024-02-26,2024,2,9,BOP,3390,3523,325,1555.46,1584.27,1549.79,37.2,322.88,0,-0.0306,3109.0,3547.0
2024-03-04,2024,3,10,BOP,3735,3502,0,1739.59,1788.28,1695.85,14.8,335.95,1,-0.0089,3224.0,3477.0
2024-03-11,2024,3,11,BOP,3681,3906,149,1757.05,1732.05,1730.03,51.5,337.45,1,-0.0193,3317.0,3450.0
2024-03-18,2024,3,12,BOP,3528,3346,0,1768.14,1744.75,1821.43,44.6,329.35,1,0.0291,3588.0,3453.0
2024-03-25,2024,3,13,BOP,3928,4175,241,1703.08,1700.91,1604.24,9.9,338.51,1,-0.0146,3584.0,3453.0
2024-04-01,2024,4,14,BOP,4672,4516,0,1780.25,1682.72,1864.72,29.8,328.53,1,0.0077,3718.0,3483.0
2024-04-08,2024,4,15,BOP,3586,3688,445,1921.65,1909.34,1784.87,76.5,333.62,1,0.0264,3952.0,3597.0
2024-04-15,2024,4,16,BOP,3522,3735,204,1945.64,1989.54,1877.48,61.4,319.54,1,0.0544,3928.0,3617.0
2024-04-22,2024,4,17,BOP,3491,3455,0,1805.6,1850.93,1769.66,70.2,329.75,1,0.0072,3927.0,3540.0
2024-04-29,2024,4,18,BOP,4572,4361,0,2002.3,1926.01,1967.55,51.3,322.32,1,0.0759,3818.0,3587.0
2024-05-06,2024,5,19,BOP,3889,3645,0,1811.92,1862.33,1713.64,43.0,318.08,0,0.0008,3793.0,3687.0
2024-05-13,2024,5,20,BOP,4827,4320,0,1827.26,1848.86,1819.44,71.8,324.46,0,-0.0521,3868.0,3795.0
2024-05-20,2024,5,21,BOP,3906,3968,0,2108.77,2056.06,2086.4,61.5,330.95,0,0.1081,4195.0,3902.0
2024-05-27,2024,5,22,BOP,3537,3243,0,1803.43,1786.47,1847.6,42.6,313.91,0,-0.0479,4298.0,3945.0
2024-06-03,2024,6,23,BOP,3914,3718,0,1937.27,1879.97,2066.86,61.3,315.46,0,0.0508,4040.0,3928.0
2024-06-10,2024,6,24,BOP,3846,4134,320,1832.82,1764.15,1880.17,100.0,317.99,0,-0.116,4046.0,3948.0
2024-06-17,2024,6,25,BOP,4053,4249,302,1800.89,1805.81,1802.72,87.6,321.4,0,-0.0528,3801.0,3974.0
2024-06-24,2024,6,26,BOP,4012,3820,0,1918.15,1933.22,2040.18,82.7,317.06,0,-0.0861,3838.0,3985.0
2024-07-01,2024,7,27,BOP,4553,4816,312,1830.8,1910.57,1845.03,56.2,324.8,0,-0.0128,3956.0,3930.0
2024-07-08,2024,7,28,BOP,4964,4855,61,1952.86,1919.23,2060.44,94.3,324.04,0,0.0327,4116.0,4010.0
2024-07-15,2024,7,29,BOP,4489,4399,0,1983.13,2031.57,1993.76,86.8,325.34,0,0.0074,4396.0,4130.0
2024-07-22,2024,7,30,BOP,4038,4171,64,2040.53,1998.45,2107.65,100.0,311.4,0,0.0425,4504.0,4214.0
2024-07-29,2024,7,31,BOP,5246,4967,0,1949.83,1892.21,1969.92,94.3,312.23,0,0.0018,4511.0,4169.0
2024-08-05,2024,8,32,BOP,5335,5315,0,1932.64,1920.83,1798.96,70.3,307.07,0,0.0053,4684.0,4282.0
2024-08-12,2024,8,33,BOP,4647,4313,0,1773.03,1741.34,1656.62,99.7,310.77,0,-0.0465,4777.0,4324.0
2024-08-19,2024,8,34,BOP,5015,4843,0,1894.46,1918.8,1766.07,64.6,313.77,0,0.0021,4816.0,4386.0
2024-08-26,2024,8,35,BOP,4966,5269,184,1879.37,1883.63,1893.34,87.1,310.81,0,-0.0145,5061.0,4509.0
2024-09-02,2024,9,36,BOP,4901,5584,577,1754.69,1776.02,1831.99,35.8,315.59,0,0.0451,4991.0,4597.0
2024-09-09,2024,9,37,BOP,4028,3853,380,1833.31,1817.46,1926.64,58.3,310.94,0,0.0276,4882.0,4685.0
2024-09-16,2024,9,38,BOP,3920,3798,0,1803.31,1805.92,1951.74,61.1,309.0,0,-0.0171,4728.0,4683.0
2024-09-23,2024,9,39,BOP,4721,4528,0,1774.61,1710.59,1798.14,72.6,312.38,0,-0.0146,4454.0,4675.0
2024-09-30,2024,9,40,BOP,4344,3756,0,1775.15,1743.27,1720.76,44.8,308.34,0,-0.013,4392.0,4689.0
2024-10-07,2024,10,41,BOP,4657,4090,0,1666.85,1658.71,1686.5,40.0,310.06,0,0.0212,4253.0,4638.0
2024-10-14,2024,10,42,BOP,4165,4201,0,1703.48,1733.54,1651.59,56.6,303.29,0,-0.0484,4410.0,4652.0
2024-10-21,2024,10,43,BOP,3678,3497,0,1659.06,1661.8,1634.55,62.3,305.8,0,-0.0274,4472.0,4662.0
2024-10-28,2024,10,44,BOP,3681,3617,0,1655.06,1621.7,1671.86,53.3,317.54,0,-0.0077,4211.0,4531.0
2024-11-04,2024,11,45,BOP,3639,4118,632,1538.22,1559.19,1597.44,35.9,316.33,0,-0.0516,4045.0,4394.0
2024-11-11,2024,11,46,BOP,4890,5052,0,1497.77,1477.72,1439.16,23.6,310.6,0,-0.0305,3791.0,4310.0
2024-11-18,2024,11,47,BOP,3859,3731,0,1563.9,1564.85,1507.77,31.8,315.4,0,-0.0501,3972.0,4299.0
2024-11-25,2024,11,48,BOP,4658,5058,456,1667.8,1658.11,1739.35,52.9,313.74,0,-0.033,4017.0,4207.0
2024-12-02,2024,12,49,BOP,3404,3215,0,1550.22,1501.61,1457.67,13.8,318.63,0,0.0059,4262.0,4187.0
2024-12-09,2024,12,50,BOP,3924,4118,161,1606.33,1632.74,1662.37,56.1,318.11,0,0.0165,4203.0,4135.0
2024-12-16,2024,12,51,BOP,3923,3585,0,1628.16,1615.93,1543.18,42.5,313.16,0,-0.0113,3961.0,4135.0
